Date,Open,High,Low,Close,Volume,50MA,200MA,52WH,52WL,%ofL,%ofH,30MAM,30MASD,50MAH,50MAL,Bub,Blb,BBlwratio,BBPrratio,BBratio,Volumem,Volumesd,Volumesdm,1D,VD,v1d,Doji,ShortEMA,LongEMA,MACD,signal,Nan,Calling,EMA50,Callm,Calld,Calld2
2022-08-11,38712.498038912374,38931.64782855268,38648.44800414183,38879.3984375,200900,35218.8914453125,36347.17426757813,41829.11366140324,32154.974585594362,1.21,0.93,36955.1130859375,1230.7914021842123,38879.3984375,32616.720703125,39416.69589030592,34493.530281569074,2461.5828043684232,4385.868155930926,1.7817268418302197,179633.33333333334,26162.95090390226,11549.410759380276,591.9921875,591.9921875,118931230.46875,166.9003985876261,37732.20184619476,36757.389425849266,974.8124203454936,874.9013954584428,,99.91102488705076,35998.60167961085,96.89226738241446,13.842721265312775,13.842721265312775
2022-08-12,38941.997252627385,39088.44477168754,38739.499602842676,39041.84765625,125300,35287.4637109375,36336.42391601563,41829.11366140324,32154.974585594362,1.21,0.93,37174.665625,1189.042597105422,39041.84765625,32616.720703125,39552.75081921084,34796.58043078916,2378.085194210842,4245.267225460841,1.7851619596284545,163366.66666666666,53457.27265770299,28944.237576569343,162.44921875,162.44921875,20354887.109375,99.85040362261498,37933.68581697249,36926.6085540271,1007.0772629453859,901.3365689558315,,105.74069398955442,36117.9446590869,97.24000749944769,5.829669102503658,5.829669102503658
2022-08-16,39283.64401349645,39444.14214412406,39119.442800999816,39239.19140625,0,35366.7547265625,36326.430771484374,41829.11366140324,32154.974585594362,1.22,0.94,37402.512890625,1120.9593567336678,39239.19140625,32616.720703125,39644.43160409234,35160.59417715767,2241.918713467334,4078.597229092331,1.81924402726645,108733.33333333333,88600.4796826744,56073.56774809321,197.34375,197.34375,0.0,-44.4526072464505,38134.53283070749,37097.910987525094,1036.6218431823945,928.3936238011441,,108.22821938125037,36240.346492308985,104.6266460859518,2.4875253916959537,2.4875253916959537
2022-08-17,39350.84502859512,39504.0424730467,39202.346748468866,39461.2421875,169800,35449.7837890625,36319.367607421875,41829.11366140324,32154.974585594362,1.23,0.94,37607.660546875,1102.4435001769652,39461.2421875,32616.720703125,39812.547547228925,35402.77354652107,2204.887000353927,4058.4686409789283,1.8406696761908732,98366.66666666667,120066.73144547577,87374.82792861771,222.05078125,222.05078125,37704222.65625,110.39715890488151,38338.641962521724,37272.972557893605,1065.669404628119,955.8487799665393,,109.82062466157981,36366.65612741452,107.92984601079483,1.5924052803294444,1.5924052803294444
2022-08-18,39323.94135604809,39703.237728550375,39290.69174252466,39655.6875,137200,35542.9856640625,36320.10360351563,41829.11366140324,32154.974585594362,1.23,0.95,37804.448046875,1099.0105944239278,39655.6875,32616.720703125,40002.469235722856,35606.42685802714,2198.021188847859,4049.260641972862,1.842230030591912,102333.33333333333,23051.68106668145,77239.63073161054,194.4453125,194.4453125,26677896.875,331.7461439519102,38541.264352902996,37449.4699610126,1091.7943918903984,983.0379023513111,,108.75648953908728,36495.63774986885,108.93511119397245,-1.0641351224925302,-1.0641351224925302
2022-08-19,39732.18663378138,39758.68632577779,38847.946911222076,38985.49609375,148100,35623.7807421875,36319.45534179688,41829.11366140324,32154.974585594362,1.21,0.93,37955.138671875,1039.492718022023,39655.6875,32616.720703125,40034.124107919044,35876.153235830956,2078.985436044044,3109.342857919044,1.495605887377256,151700.0,7707.463914933368,50275.29214236353,-670.19140625,-670.19140625,-99255347.265625,-746.6905400313772,38609.60769764869,37563.2496745487,1046.358023099987,995.7019265010463,,50.65609659894062,36593.27925355047,89.7444035998692,-58.10039294014666,-58.10039294014666
2022-08-22,38693.19852163498,38732.4011907951,38246.805274695886,38297.3046875,124300,35688.0259765625,36312.125419921875,41829.11366140324,32154.974585594362,1.19,0.92,38059.975,955.5692395882791,39655.6875,32616.720703125,39971.11347917656,36148.83652082344,1911.1384791765595,2148.468166676561,1.1241823604547265,136533.33333333334,16829.14139223983,15862.762124618215,-688.19140625,-688.19140625,-85542191.796875,-395.89383413497853,38561.56108070273,37617.624119952496,943.9369607502376,985.3489333508846,,-41.411972600647005,36660.103780372025,39.33353784579359,-92.06806919958763,-92.06806919958763
2022-08-23,37955.008615763974,38869.447219198795,37950.411012885525,38697.19921875,176400,35772.3019921875,36305.921494140624,41829.11366140324,32154.974585594362,1.2,0.93,38157.9087890625,912.403961591348,39655.6875,32616.720703125,39982.716712245194,36333.10086587981,1824.8079231826923,2364.098352870191,1.2955327094080724,149600.0,36840.263299819126,20458.956202330774,399.89453125,399.89453125,70541395.3125,742.1906029860256,38582.42848655616,37697.59264578935,884.8358407668056,965.2463148340689,,-80.4104740672633,36739.98987599469,-23.7221166896566,-38.99850146661629,-38.99850146661629
2022-08-24,38552.25173250351,39120.34670097401,38551.75173830707,39038.046875,214900,35884.9536328125,36304.103759765625,41829.11366140324,32154.974585594362,1.21,0.93,38273.5125,866.7560937692771,39655.6875,32616.720703125,40007.02468753855,36540.000312461445,1733.512187538552,2498.046562538555,1.441032016097666,171866.66666666666,27223.611075682078,26964.33858924701,340.84765625,340.84765625,73248161.328125,485.7951424964922,38652.523623239824,37796.88555165681,855.6380715830164,943.3246661838584,,-87.686594600842,36830.10975830862,-69.83634708958414,-7.276120533578705,-7.276120533578705
2022-08-25,39189.59487239689,39471.29081406087,38803.247804432984,38950.296875,333400,35997.7402734375,36300.989052734374,41829.11366140324,32154.974585594362,1.21,0.93,38400.6234375,758.4299665759372,39655.6875,32616.720703125,39917.48337065187,36883.76350434813,1516.8599331518708,2066.5333706518722,1.3623758697072574,241566.66666666666,83792.15357060588,49285.34264870236,-87.75,-87.75,-29255850.0,-239.29799739689042,38698.33489274139,37882.32342746001,816.0114652813791,917.8620260033626,,-101.85056072198358,36913.25435112005,-89.98254313002967,-14.163966121141584,-14.163966121141584
2022-08-26,39129.1936563052,39336.64437019792,38846.34928742936,38986.6953125,196300,36110.7019140625,36298.73356445313,41829.11366140324,32154.974585594362,1.21,0.93,38510.7919921875,665.4711643349542,39655.6875,32616.720703125,39841.73432085741,37179.84966351759,1330.9423286699093,1806.8456489824093,1.3575687015590667,248200.0,96944.33970067567,69320.0347823212,36.3984375,36.3984375,7145013.28125,-142.49834380520042,38742.69803424271,37964.128752277786,778.5692819649266,890.0034771956755,,-111.43419523074886,36994.56576137024,-100.32378351785819,-9.583634508765272,-9.583634508765272
2022-08-29,38111.15817075209,38396.65484923479,37943.410122361645,38276.25390625,158000,36223.892578125,36293.27311523438,41829.11366140324,32154.974585594362,1.19,0.92,38555.7189453125,613.229638783448,39655.6875,32684.419921875,39782.178222879396,37329.25966774561,1226.4592775668934,946.9942385043905,0.7721367156870316,229233.33333333334,27082.18971944477,69272.89433024211,-710.44140625,-710.44140625,-112249742.1875,165.09573549791094,38670.937399166905,37987.249134053505,683.6882651134001,848.7404347792205,,-165.05216966582043,37044.8280415616,-126.11230853951766,-53.617974435071574,-53.617974435071574
2022-08-30,38516.50017055356,39606.08902998059,38472.25068644028,39536.2890625,176800,36359.7649609375,36295.840576171875,41829.11366140324,32154.974585594362,1.23,0.95,38657.9853515625,596.6397568815348,39655.6875,32684.419921875,39851.26486532557,37464.70583779943,1193.2795137630674,2071.5832247005674,1.7360418919518066,177033.33333333334,13293.607486307093,45773.37896880918,1260.03515625,1260.03515625,222774215.625,1019.7888919464385,38804.068424295074,38101.99283245695,702.0755918381255,819.4074661910016,,-117.33187435287607,37142.5323953239,-131.27274641648182,47.72029531294436,47.72029531294436
2022-09-01,38806.24793859346,39667.18714543041,38802.849540613635,39300.79296875,191200,36492.092421875,36299.545791015626,41829.11366140324,32154.974585594362,1.22,0.94,38727.887109375,585.2893514004204,39655.6875,32844.91796875,39898.46581217584,37557.30840657416,1170.5787028008417,1743.4845621758432,1.4894210513177888,175333.33333333334,10182.337649086285,16852.711618279383,-235.49609375,-235.49609375,-45026853.125,494.54503015654336,38880.48758498045,38190.79284255273,689.6947424277241,793.4649214383462,,-103.77017901062209,37227.17006487002,-128.71807434310622,13.561695342253984,13.561695342253984
2022-09-02,39421.84373491926,39595.39250409117,39199.994744477226,39420.54296875,133900,36616.676015625,36302.983994140624,41829.11366140324,32154.974585594362,1.23,0.94,38797.736328125,580.1462649873205,39655.6875,32844.91796875,39958.02885809964,37637.44379815036,1160.292529974642,1783.099170599642,1.536766913976953,167300.0,40517.218561989175,21331.054565794184,119.75,119.75,16034525.0,-1.3007661692608963,38963.57302863731,38281.885444493266,681.6875841440415,771.1094539794854,,-89.42186983544389,37313.18468855159,-103.50797439964738,14.348309175178201,14.348309175178201
2022-09-05,39411.59440265753,39864.73759284759,39406.94211278015,39805.2890625,214100,36755.8834375,36308.50092773438,41829.11366140324,32154.974585594362,1.24,0.95,38888.5603515625,588.961729398883,39805.2890625,33134.61328125,40066.48381036026,37710.636892764735,1177.9234587977626,2094.6521697352655,1.7782583020064429,179733.33333333334,56709.96385116111,35803.17335407886,384.74609375,384.74609375,82374138.671875,393.69465984246926,39093.06780307772,38394.73015693821,698.3376461395092,756.5550924114901,,-58.217446271980975,37410.914271843685,-83.80316503934903,31.20442356346291,31.20442356346291
2022-09-06,39892.485649837174,40073.28433012389,39563.841031337826,39666.0390625,210200,36886.511953125,36315.29784179688,41829.11366140324,32154.974585594362,1.23,0.95,38984.106640625,549.0581156529332,39805.2890625,33269.51171875,40082.22287193087,37885.990409319136,1098.1162313058667,1780.0486531808638,1.6210020418913682,186066.66666666666,2757.7164466275353,33328.29961992594,-139.25,-139.25,-29270350.0,-226.4465873371737,39181.217227604226,38488.90118697982,692.316040624406,743.7072820540734,,-51.39124142966739,37499.35053814393,-66.34351917903079,6.826204842313587,6.826204842313587
